tiếng anh ; English
danh từ ; noun
mạo từ ; article
trong ; in 
và ; and 
0001. Danh từ và Mạo từ trong tiếng Anh ; Nouns and Articles in English
là ; to be
gì ; what
0002. Danh từ là gì ? ; What is noun?
gọi là ; to be called
0003. Trong tiếng Anh danh từ gọi là Noun. ; In English the noun is called noun.
từ ; word
để ; in order to
gọi ; refer to 
tên ; name , to name
một ; one
người ; specifier for a human
vật ; thing, object
sự việc ; fact
tình trạng ; condition
hay ; or (in question)
cảm xúc.  ; emotion
0004. Danh từ là từ để gọi tên một người, một vật, một sự việc, một tình trạng hay một cảm xúc. ; A noun refers to a person's name, an object, an event, a condition or an emotion.
phân ; to seperate
loại ; sort, category
Phân loại ; to classified, classification
0005. Phân loại Danh từ ; classsification of noun
có thể ; can, be able
được ; can, be able
chia ; to devide
thành ; in to , to became
hai ; two
chính ; main
loại chính ; main category
0006. Danh từ có thể được chia thành hai loại chính:
Danh từ cụ thể ; concrete noun
này ; this, here , demonstrative pronoun/adj
sau ; behind, as follow
0007. Danh từ cụ thể (concrete nouns): loại danh từ này có thể chia thành hai loại sau:
chung ; common, public, general
Danh từ chung ; common nouns
dùng ; to use
làm ; to do , to create
dùng làm ; to use (/to be used) as 
cho ; to, of 
0008. Danh từ chung (common nouns): là danh từ dùng làm tên chung cho một loại. ; Common noun is used as the general name  of a category
Danh từ riêng ; proper noun
riêng ; adj. special, private, particlular
0009. Danh từ riêng (proper nouns): là tên riêng

http://www.vietjack.com/ngu-phap-tieng-anh-co-ban/danh-tu-va-mao-tu.jsp
